design,chosen,rejected,chosen_score,rejected_score
RISCY-FPU-a,4606-RISCY-FPU-a-1-c20-u0.9-m2-p1-f1.npy,4179-RISCY-FPU-a-1-c5-u0.75-m3-p7-f0.npy,1083,0
RISCY-FPU-a,3985-RISCY-FPU-a-1-c2-u0.85-m4-p2-f0.npy,4552-RISCY-FPU-a-1-c20-u0.75-m3-p5-f1.npy,6642,0
RISCY-FPU-a,4373-RISCY-FPU-a-1-c5-u0.9-m2-p7-f1.npy,5131-RISCY-FPU-a-2-c20-u0.75-m1-p2-f1.npy,1,0
RISCY-FPU-a,4364-RISCY-FPU-a-1-c5-u0.9-m1-p6-f1.npy,5703-RISCY-FPU-a-3-c20-u0.75-m2-p5-f0.npy,676,0
RISCY-FPU-a,5010-RISCY-FPU-a-2-c5-u0.9-m1-p5-f1.npy,4245-RISCY-FPU-a-1-c5-u0.85-m4-p6-f0.npy,562,0
RISCY-FPU-a,4876-RISCY-FPU-a-2-c5-u0.8-m2-p4-f0.npy,4587-RISCY-FPU-a-1-c20-u0.85-m1-p8-f1.npy,17303,0
RISCY-FPU-a,3917-RISCY-FPU-a-1-c2-u0.75-m2-p4-f0.npy,4392-RISCY-FPU-a-1-c20-u0.7-m2-p5-f0.npy,665,0
RISCY-FPU-a,5015-RISCY-FPU-a-2-c5-u0.9-m2-p2-f1.npy,4794-RISCY-FPU-a-2-c2-u0.85-m3-p6-f1.npy,558,3
RISCY-FPU-a,5022-RISCY-FPU-a-2-c5-u0.9-m3-p2-f1.npy,5409-RISCY-FPU-a-3-c2-u0.85-m2-p5-f1.npy,2962,0
RISCY-FPU-a,4368-RISCY-FPU-a-1-c5-u0.9-m2-p2-f1.npy,4296-RISCY-FPU-a-1-c5-u0.75-m2-p1-f1.npy,1040,0
RISCY-FPU-a,5103-RISCY-FPU-a-2-c20-u0.85-m3-p6-f0.npy,5055-RISCY-FPU-a-2-c20-u0.75-m1-p8-f0.npy,12212,0
RISCY-FPU-a,5438-RISCY-FPU-a-3-c2-u0.9-m3-p2-f1.npy,4785-RISCY-FPU-a-2-c2-u0.85-m2-p5-f1.npy,7227,25
RISCY-FPU-a,4803-RISCY-FPU-a-2-c2-u0.9-m1-p8-f1.npy,5734-RISCY-FPU-a-3-c20-u0.8-m3-p8-f0.npy,7505,64
RISCY-FPU-a,5624-RISCY-FPU-a-3-c5-u0.85-m1-p1-f1.npy,4396-RISCY-FPU-a-1-c20-u0.7-m3-p1-f0.npy,3,0
RISCY-FPU-a,5360-RISCY-FPU-a-3-c2-u0.75-m2-p4-f1.npy,5707-RISCY-FPU-a-3-c20-u0.75-m3-p1-f0.npy,1,0
RISCY-FPU-a,4674-RISCY-FPU-a-2-c2-u0.8-m3-p2-f0.npy,5030-RISCY-FPU-a-2-c20-u0.7-m1-p4-f0.npy,3834,0
RISCY-FPU-a,5669-RISCY-FPU-a-3-c5-u0.9-m3-p8-f1.npy,4585-RISCY-FPU-a-1-c20-u0.85-m1-p6-f1.npy,5,0
RISCY-FPU-a,3973-RISCY-FPU-a-1-c2-u0.85-m2-p4-f0.npy,5475-RISCY-FPU-a-3-c5-u0.75-m1-p1-f0.npy,10785,0
RISCY-FPU-a,4214-RISCY-FPU-a-1-c5-u0.8-m4-p4-f0.npy,4844-RISCY-FPU-a-2-c5-u0.7-m4-p3-f0.npy,2,0
RISCY-FPU-a,4232-RISCY-FPU-a-1-c5-u0.85-m2-p8-f0.npy,4985-RISCY-FPU-a-2-c5-u0.85-m1-p3-f1.npy,15033,0
RISCY-FPU-a,4605-RISCY-FPU-a-1-c20-u0.9-m1-p6-f1.npy,4389-RISCY-FPU-a-1-c20-u0.7-m2-p2-f0.npy,504,0
RISCY-FPU-a,4803-RISCY-FPU-a-2-c2-u0.9-m1-p8-f1.npy,5610-RISCY-FPU-a-3-c5-u0.8-m2-p2-f1.npy,7505,0
RISCY-FPU-a,3985-RISCY-FPU-a-1-c2-u0.85-m4-p2-f0.npy,5471-RISCY-FPU-a-3-c5-u0.7-m4-p5-f0.npy,6642,0
RISCY-FPU-a,4097-RISCY-FPU-a-1-c2-u0.85-m3-p3-f1.npy,5834-RISCY-FPU-a-3-c20-u0.85-m3-p5-f1.npy,2295,0
RISCY-FPU-a,4783-RISCY-FPU-a-2-c2-u0.85-m2-p3-f1.npy,4879-RISCY-FPU-a-2-c5-u0.8-m3-p1-f0.npy,1670,2
RISCY-FPU-a,4252-RISCY-FPU-a-1-c5-u0.9-m1-p5-f0.npy,5117-RISCY-FPU-a-2-c20-u0.7-m2-p4-f1.npy,18380,0
RISCY-FPU-a,4113-RISCY-FPU-a-1-c2-u0.9-m2-p3-f1.npy,4864-RISCY-FPU-a-2-c5-u0.75-m3-p8-f0.npy,6393,0
RISCY-FPU-a,4695-RISCY-FPU-a-2-c2-u0.85-m4-p3-f0.npy,5090-RISCY-FPU-a-2-c20-u0.8-m3-p6-f0.npy,6517,9
RISCY-FPU-a,4889-RISCY-FPU-a-2-c5-u0.8-m4-p4-f0.npy,5374-RISCY-FPU-a-3-c2-u0.8-m1-p2-f1.npy,382,0
RISCY-FPU-a,4816-RISCY-FPU-a-2-c2-u0.9-m3-p5-f1.npy,5495-RISCY-FPU-a-3-c5-u0.75-m3-p6-f0.npy,1143,0
RISCY-FPU-a,3955-RISCY-FPU-a-1-c2-u0.8-m3-p8-f0.npy,5747-RISCY-FPU-a-3-c20-u0.7-m1-p5-f1.npy,1185,0
RISCY-FPU-a,4771-RISCY-FPU-a-2-c2-u0.8-m3-p7-f1.npy,4840-RISCY-FPU-a-2-c5-u0.7-m3-p7-f0.npy,10,0
RISCY-FPU-a,4668-RISCY-FPU-a-2-c2-u0.8-m1-p5-f0.npy,4818-RISCY-FPU-a-2-c2-u0.9-m3-p7-f1.npy,6709,531
RISCY-FPU-a,4661-RISCY-FPU-a-2-c2-u0.75-m4-p4-f0.npy,4423-RISCY-FPU-a-1-c20-u0.75-m2-p6-f0.npy,108,0
RISCY-FPU-a,3979-RISCY-FPU-a-1-c2-u0.85-m3-p4-f0.npy,5846-RISCY-FPU-a-3-c20-u0.9-m3-p1-f1.npy,11812,3
RISCY-FPU-a,4375-RISCY-FPU-a-1-c5-u0.9-m3-p1-f1.npy,4193-RISCY-FPU-a-1-c5-u0.8-m1-p5-f0.npy,3521,0
RISCY-FPU-a,4354-RISCY-FPU-a-1-c5-u0.85-m3-p4-f1.npy,4347-RISCY-FPU-a-1-c5-u0.85-m2-p5-f1.npy,654,0
RISCY-FPU-a,4063-RISCY-FPU-a-1-c2-u0.8-m2-p1-f1.npy,4438-RISCY-FPU-a-1-c20-u0.75-m4-p6-f0.npy,251,0
RISCY-FPU-a,5421-RISCY-FPU-a-3-c2-u0.9-m1-p1-f1.npy,5183-RISCY-FPU-a-2-c20-u0.85-m1-p8-f1.npy,12060,0
RISCY-FPU-a,5259-RISCY-FPU-a-3-c2-u0.75-m2-p7-f0.npy,5718-RISCY-FPU-a-3-c20-u0.8-m1-p4-f0.npy,1788,378
RISCY-FPU-a,5108-RISCY-FPU-a-2-c20-u0.7-m1-p3-f1.npy,4300-RISCY-FPU-a-1-c5-u0.75-m2-p5-f1.npy,3,0
RISCY-FPU-a,4791-RISCY-FPU-a-2-c2-u0.85-m3-p3-f1.npy,4345-RISCY-FPU-a-1-c5-u0.85-m2-p3-f1.npy,1204,454
RISCY-FPU-a,4819-RISCY-FPU-a-2-c2-u0.9-m3-p8-f1.npy,5065-RISCY-FPU-a-2-c20-u0.75-m3-p3-f0.npy,1440,9
RISCY-FPU-a,4337-RISCY-FPU-a-1-c5-u0.85-m1-p3-f1.npy,4793-RISCY-FPU-a-2-c2-u0.85-m3-p5-f1.npy,877,0
RISCY-FPU-a,4485-RISCY-FPU-a-1-c20-u0.85-m3-p4-f0.npy,4887-RISCY-FPU-a-2-c5-u0.8-m4-p2-f0.npy,6189,0
RISCY-FPU-a,5196-RISCY-FPU-a-2-c20-u0.9-m1-p2-f1.npy,4557-RISCY-FPU-a-1-c20-u0.8-m1-p2-f1.npy,1083,0
RISCY-FPU-a,3951-RISCY-FPU-a-1-c2-u0.8-m3-p4-f0.npy,4030-RISCY-FPU-a-1-c2-u0.7-m3-p7-f1.npy,3072,0
RISCY-FPU-a,4047-RISCY-FPU-a-1-c2-u0.75-m3-p1-f1.npy,5138-RISCY-FPU-a-2-c20-u0.75-m2-p1-f1.npy,176,0
RISCY-FPU-a,5200-RISCY-FPU-a-2-c20-u0.9-m1-p7-f1.npy,5797-RISCY-FPU-a-3-c20-u0.8-m1-p7-f1.npy,396,0
RISCY-FPU-a,5532-RISCY-FPU-a-3-c5-u0.8-m4-p4-f0.npy,4823-RISCY-FPU-a-2-c5-u0.7-m1-p5-f0.npy,15,0
RISCY-FPU-a,4066-RISCY-FPU-a-1-c2-u0.8-m2-p4-f1.npy,3906-RISCY-FPU-a-1-c2-u0.7-m4-p7-f0.npy,1368,0
RISCY-FPU-a,4365-RISCY-FPU-a-1-c5-u0.9-m1-p7-f1.npy,4634-RISCY-FPU-a-2-c2-u0.7-m4-p1-f0.npy,795,0
RISCY-FPU-a,4229-RISCY-FPU-a-1-c5-u0.85-m2-p5-f0.npy,5177-RISCY-FPU-a-2-c20-u0.85-m1-p2-f1.npy,20884,0
RISCY-FPU-a,4814-RISCY-FPU-a-2-c2-u0.9-m3-p3-f1.npy,4610-RISCY-FPU-a-1-c20-u0.9-m2-p8-f1.npy,5144,0
RISCY-FPU-a,4818-RISCY-FPU-a-2-c2-u0.9-m3-p7-f1.npy,4777-RISCY-FPU-a-2-c2-u0.85-m1-p5-f1.npy,531,21
RISCY-FPU-a,5741-RISCY-FPU-a-3-c20-u0.85-m1-p7-f0.npy,4608-RISCY-FPU-a-1-c20-u0.9-m2-p5-f1.npy,14544,0
RISCY-FPU-a,4494-RISCY-FPU-a-1-c20-u0.9-m1-p1-f0.npy,4056-RISCY-FPU-a-1-c2-u0.8-m1-p2-f1.npy,3171,611
RISCY-FPU-a,4040-RISCY-FPU-a-1-c2-u0.75-m2-p2-f1.npy,3886-RISCY-FPU-a-1-c2-u0.7-m1-p7-f0.npy,15,0
RISCY-FPU-a,4675-RISCY-FPU-a-2-c2-u0.8-m3-p3-f0.npy,3904-RISCY-FPU-a-1-c2-u0.7-m4-p5-f0.npy,24999,0
RISCY-FPU-a,4800-RISCY-FPU-a-2-c2-u0.9-m1-p5-f1.npy,5224-RISCY-FPU-a-3-c2-u0.7-m2-p3-f0.npy,7215,5
RISCY-FPU-a,5283-RISCY-FPU-a-3-c2-u0.8-m1-p7-f0.npy,5803-RISCY-FPU-a-3-c20-u0.8-m2-p5-f1.npy,2206,0
RISCY-FPU-a,4367-RISCY-FPU-a-1-c5-u0.9-m2-p1-f1.npy,4842-RISCY-FPU-a-2-c5-u0.7-m4-p1-f0.npy,1121,0
RISCY-FPU-a,5741-RISCY-FPU-a-3-c20-u0.85-m1-p7-f0.npy,4180-RISCY-FPU-a-1-c5-u0.75-m3-p8-f0.npy,14544,0
RISCY-FPU-a,4248-RISCY-FPU-a-1-c5-u0.9-m1-p1-f0.npy,5301-RISCY-FPU-a-3-c2-u0.8-m4-p1-f0.npy,22306,1241
RISCY-FPU-a,5840-RISCY-FPU-a-3-c20-u0.9-m1-p4-f1.npy,5374-RISCY-FPU-a-3-c2-u0.8-m1-p2-f1.npy,3219,0
RISCY-FPU-a,4876-RISCY-FPU-a-2-c5-u0.8-m2-p4-f0.npy,5811-RISCY-FPU-a-3-c20-u0.8-m3-p5-f1.npy,17303,0
RISCY-FPU-a,4462-RISCY-FPU-a-1-c20-u0.8-m3-p8-f0.npy,4743-RISCY-FPU-a-2-c2-u0.75-m3-p3-f1.npy,3,0
RISCY-FPU-a,4886-RISCY-FPU-a-2-c5-u0.8-m4-p1-f0.npy,5108-RISCY-FPU-a-2-c20-u0.7-m1-p3-f1.npy,27,3
RISCY-FPU-a,4670-RISCY-FPU-a-2-c2-u0.8-m1-p7-f0.npy,5121-RISCY-FPU-a-2-c20-u0.7-m2-p8-f1.npy,11182,0
RISCY-FPU-a,4813-RISCY-FPU-a-2-c2-u0.9-m3-p2-f1.npy,4099-RISCY-FPU-a-1-c2-u0.85-m3-p5-f1.npy,4061,0
RISCY-FPU-a,4604-RISCY-FPU-a-1-c20-u0.9-m1-p4-f1.npy,5646-RISCY-FPU-a-3-c5-u0.85-m3-p8-f1.npy,3793,0
RISCY-FPU-a,4064-RISCY-FPU-a-1-c2-u0.8-m2-p2-f1.npy,5559-RISCY-FPU-a-3-c5-u0.7-m1-p7-f1.npy,3,0
RISCY-FPU-a,5083-RISCY-FPU-a-2-c20-u0.8-m2-p7-f0.npy,4190-RISCY-FPU-a-1-c5-u0.8-m1-p2-f0.npy,15264,0
RISCY-FPU-a,5352-RISCY-FPU-a-3-c2-u0.75-m1-p4-f1.npy,4794-RISCY-FPU-a-2-c2-u0.85-m3-p6-f1.npy,8,3
RISCY-FPU-a,5397-RISCY-FPU-a-3-c2-u0.85-m1-p1-f1.npy,4464-RISCY-FPU-a-1-c20-u0.8-m4-p2-f0.npy,12,0
RISCY-FPU-a,3939-RISCY-FPU-a-1-c2-u0.8-m1-p4-f0.npy,5034-RISCY-FPU-a-2-c20-u0.7-m2-p2-f0.npy,1339,0
RISCY-FPU-a,4613-RISCY-FPU-a-1-c20-u0.9-m3-p5-f1.npy,4290-RISCY-FPU-a-1-c5-u0.75-m1-p3-f1.npy,20,0
RISCY-FPU-a,5423-RISCY-FPU-a-3-c2-u0.9-m1-p3-f1.npy,4163-RISCY-FPU-a-1-c5-u0.75-m1-p5-f0.npy,15638,0
RISCY-FPU-a,4672-RISCY-FPU-a-2-c2-u0.8-m2-p8-f0.npy,4489-RISCY-FPU-a-1-c20-u0.85-m4-p1-f0.npy,15839,1120
RISCY-FPU-a,4192-RISCY-FPU-a-1-c5-u0.8-m1-p4-f0.npy,4832-RISCY-FPU-a-2-c5-u0.7-m2-p6-f0.npy,1297,0
RISCY-FPU-a,4082-RISCY-FPU-a-1-c2-u0.85-m1-p4-f1.npy,5048-RISCY-FPU-a-2-c20-u0.75-m1-p1-f0.npy,3309,0
RISCY-FPU-a,5653-RISCY-FPU-a-3-c5-u0.9-m1-p7-f1.npy,5577-RISCY-FPU-a-3-c5-u0.75-m1-p1-f1.npy,1,0
RISCY-FPU-a,3963-RISCY-FPU-a-1-c2-u0.8-m4-p8-f0.npy,4301-RISCY-FPU-a-1-c5-u0.75-m2-p6-f1.npy,175,0
RISCY-FPU-a,4363-RISCY-FPU-a-1-c5-u0.9-m1-p5-f1.npy,4884-RISCY-FPU-a-2-c5-u0.8-m3-p7-f0.npy,765,0
RISCY-FPU-a,4503-RISCY-FPU-a-1-c20-u0.9-m4-p2-f0.npy,4344-RISCY-FPU-a-1-c5-u0.85-m2-p2-f1.npy,13515,0
RISCY-FPU-a,5843-RISCY-FPU-a-3-c20-u0.9-m2-p3-f1.npy,5632-RISCY-FPU-a-3-c5-u0.85-m2-p2-f1.npy,1090,0
RISCY-FPU-a,3979-RISCY-FPU-a-1-c2-u0.85-m3-p4-f0.npy,4246-RISCY-FPU-a-1-c5-u0.85-m4-p7-f0.npy,11812,332
RISCY-FPU-a,4253-RISCY-FPU-a-1-c5-u0.9-m1-p6-f0.npy,4839-RISCY-FPU-a-2-c5-u0.7-m3-p6-f0.npy,18618,0
RISCY-FPU-a,5100-RISCY-FPU-a-2-c20-u0.85-m3-p3-f0.npy,5511-RISCY-FPU-a-3-c5-u0.8-m1-p6-f0.npy,20616,0
RISCY-FPU-a,4032-RISCY-FPU-a-1-c2-u0.75-m1-p2-f1.npy,4640-RISCY-FPU-a-2-c2-u0.7-m4-p7-f0.npy,2,0
RISCY-FPU-a,4908-RISCY-FPU-a-2-c5-u0.85-m4-p4-f0.npy,5056-RISCY-FPU-a-2-c20-u0.75-m2-p1-f0.npy,3917,0
RISCY-FPU-a,5375-RISCY-FPU-a-3-c2-u0.8-m1-p3-f1.npy,5836-RISCY-FPU-a-3-c20-u0.85-m3-p7-f1.npy,820,0
RISCY-FPU-a,4221-RISCY-FPU-a-1-c5-u0.85-m1-p4-f0.npy,4086-RISCY-FPU-a-1-c2-u0.85-m1-p8-f1.npy,11592,1409
RISCY-FPU-a,5398-RISCY-FPU-a-3-c2-u0.85-m1-p2-f1.npy,5817-RISCY-FPU-a-3-c20-u0.85-m1-p3-f1.npy,671,0
RISCY-FPU-a,4688-RISCY-FPU-a-2-c2-u0.8-m4-p8-f0.npy,4011-RISCY-FPU-a-1-c2-u0.7-m1-p4-f1.npy,627,0
RISCY-FPU-a,4262-RISCY-FPU-a-1-c5-u0.9-m4-p7-f0.npy,5686-RISCY-FPU-a-3-c20-u0.7-m3-p3-f0.npy,9561,0
RISCY-FPU-a,5319-RISCY-FPU-a-3-c2-u0.85-m4-p3-f0.npy,5799-RISCY-FPU-a-3-c20-u0.8-m2-p1-f1.npy,15948,0
RISCY-FPU-a,3923-RISCY-FPU-a-1-c2-u0.75-m3-p4-f0.npy,5127-RISCY-FPU-a-2-c20-u0.7-m3-p6-f1.npy,1807,0
RISCY-FPU-a,4082-RISCY-FPU-a-1-c2-u0.85-m1-p4-f1.npy,4922-RISCY-FPU-a-2-c5-u0.7-m2-p2-f1.npy,3309,0
RISCY-FPU-a,4251-RISCY-FPU-a-1-c5-u0.9-m1-p4-f0.npy,3959-RISCY-FPU-a-1-c2-u0.8-m4-p4-f0.npy,25908,4540
RISCY-FPU-a,4083-RISCY-FPU-a-1-c2-u0.85-m1-p5-f1.npy,4163-RISCY-FPU-a-1-c5-u0.75-m1-p5-f0.npy,52,0
RISCY-FPU-a,5093-RISCY-FPU-a-2-c20-u0.85-m1-p1-f0.npy,5812-RISCY-FPU-a-3-c20-u0.8-m3-p6-f1.npy,18308,0
RISCY-FPU-a,4616-RISCY-FPU-a-1-c20-u0.9-m3-p8-f1.npy,4729-RISCY-FPU-a-2-c2-u0.75-m1-p5-f1.npy,23,0
RISCY-FPU-a,4501-RISCY-FPU-a-1-c20-u0.9-m1-p8-f0.npy,4855-RISCY-FPU-a-2-c5-u0.75-m2-p7-f0.npy,897,0
RISCY-FPU-a,5542-RISCY-FPU-a-3-c5-u0.85-m1-p6-f0.npy,5628-RISCY-FPU-a-3-c5-u0.85-m1-p5-f1.npy,11549,17
RISCY-FPU-a,5406-RISCY-FPU-a-3-c2-u0.85-m2-p2-f1.npy,4648-RISCY-FPU-a-2-c2-u0.75-m1-p7-f0.npy,1130,0
RISCY-FPU-a,4000-RISCY-FPU-a-1-c2-u0.9-m4-p1-f0.npy,4511-RISCY-FPU-a-1-c20-u0.7-m1-p2-f1.npy,9088,0
RISCY-FPU-a,4097-RISCY-FPU-a-1-c2-u0.85-m3-p3-f1.npy,4061-RISCY-FPU-a-1-c2-u0.8-m1-p7-f1.npy,2295,0
RISCY-FPU-a,4482-RISCY-FPU-a-1-c20-u0.85-m2-p6-f0.npy,5271-RISCY-FPU-a-3-c2-u0.75-m4-p3-f0.npy,1565,468
RISCY-FPU-a,4677-RISCY-FPU-a-2-c2-u0.8-m3-p5-f0.npy,4787-RISCY-FPU-a-2-c2-u0.85-m2-p7-f1.npy,10686,0
RISCY-FPU-a,4107-RISCY-FPU-a-1-c2-u0.9-m1-p5-f1.npy,3907-RISCY-FPU-a-1-c2-u0.7-m4-p8-f0.npy,14100,0
RISCY-FPU-a,4583-RISCY-FPU-a-1-c20-u0.85-m1-p4-f1.npy,4341-RISCY-FPU-a-1-c5-u0.85-m1-p7-f1.npy,1093,0
RISCY-FPU-a,4506-RISCY-FPU-a-1-c20-u0.9-m4-p5-f0.npy,5837-RISCY-FPU-a-3-c20-u0.85-m3-p8-f1.npy,6664,0
RISCY-FPU-a,4123-RISCY-FPU-a-1-c2-u0.9-m3-p5-f1.npy,3924-RISCY-FPU-a-1-c2-u0.75-m3-p5-f0.npy,1433,0
RISCY-FPU-a,5022-RISCY-FPU-a-2-c5-u0.9-m3-p2-f1.npy,4942-RISCY-FPU-a-2-c5-u0.75-m1-p6-f1.npy,2962,0
RISCY-FPU-a,5311-RISCY-FPU-a-3-c2-u0.85-m1-p3-f0.npy,4806-RISCY-FPU-a-2-c2-u0.9-m2-p3-f1.npy,23859,5491
RISCY-FPU-a,4802-RISCY-FPU-a-2-c2-u0.9-m1-p7-f1.npy,5525-RISCY-FPU-a-3-c5-u0.8-m3-p5-f0.npy,4642,0
RISCY-FPU-a,4696-RISCY-FPU-a-2-c2-u0.85-m4-p4-f0.npy,5769-RISCY-FPU-a-3-c20-u0.75-m1-p3-f1.npy,5396,0
RISCY-FPU-a,4915-RISCY-FPU-a-2-c5-u0.7-m1-p3-f1.npy,5122-RISCY-FPU-a-2-c20-u0.7-m3-p1-f1.npy,1,0
RISCY-FPU-a,4591-RISCY-FPU-a-1-c20-u0.85-m2-p4-f1.npy,5702-RISCY-FPU-a-3-c20-u0.75-m2-p4-f0.npy,644,0
RISCY-FPU-a,5105-RISCY-FPU-a-2-c20-u0.85-m3-p8-f0.npy,5233-RISCY-FPU-a-3-c2-u0.7-m3-p5-f0.npy,17323,0
RISCY-FPU-a,4238-RISCY-FPU-a-1-c5-u0.85-m3-p7-f0.npy,4151-RISCY-FPU-a-1-c5-u0.7-m4-p1-f0.npy,16542,0
RISCY-FPU-a,4323-RISCY-FPU-a-1-c5-u0.8-m2-p4-f1.npy,5148-RISCY-FPU-a-2-c20-u0.75-m3-p3-f1.npy,1,0
RISCY-FPU-a,4338-RISCY-FPU-a-1-c5-u0.85-m1-p4-f1.npy,4733-RISCY-FPU-a-2-c2-u0.75-m2-p1-f1.npy,2051,0
RISCY-FPU-a,3979-RISCY-FPU-a-1-c2-u0.85-m3-p4-f0.npy,4138-RISCY-FPU-a-1-c5-u0.7-m2-p4-f0.npy,11812,0
